HOG	OG	Gene Tree Parent Clade	Canislupusfamiliaris	Homosapiens	Macacafascicularis	Musmusculus	Rattusnorvegicus
N0.HOG0006268	OG0005088	n0	ENSCAFG00000001618.4	ENSG00000112576.13	ENSMFAG00000039022.1	ENSMUSG00000034165.16	ENSRNOG00000050258.1
N0.HOG0006269	OG0005089	n0	ENSCAFG00000029577.2	ENSG00000159788.19	ENSMFAG00000039419.1	ENSMUSG00000029101.16	ENSRNOG00000030568.6
N0.HOG0006270	OG0005090	n0	ENSCAFG00000024388.1	ENSG00000206422.2	ENSMFAG00000028007.1	ENSMUSG00000073375.3	ENSRNOG00000030389.2
N0.HOG0006271	OG0005091	n0	ENSCAFG00000015072.4	ENSG00000140287.11	ENSMFAG00000000845.1	ENSMUSG00000027360.5	ENSRNOG00000010262.6
N0.HOG0006272	OG0005092	n0	ENSCAFG00000017214.4	ENSG00000131269.19	ENSMFAG00000041203.1	ENSMUSG00000031333.7	ENSRNOG00000002790.6
N0.HOG0006273	OG0005093	n0	ENSCAFG00000019248.5	ENSG00000197530.12	ENSMFAG00000001398.1	ENSMUSG00000029060.17	ENSRNOG00000017564.7
N0.HOG0006274	OG0005094	n0	ENSCAFG00000001484.4	ENSG00000100079.7	ENSMFAG00000001312.1	ENSMUSG00000043501.5	ENSRNOG00000008539.4
N0.HOG0006275	OG0005095	n0	ENSCAFG00000031868.1	ENSG00000177853.14	ENSMFAG00000020976.1	ENSMUSG00000049164.7	ENSRNOG00000036592.3
N0.HOG0006276	OG0005096	n0	ENSCAFG00000005097.4	ENSG00000129667.13	ENSMFAG00000001987.1	ENSMUSG00000020806.15	ENSRNOG00000011459.7
N0.HOG0006277	OG0005097	n0	ENSCAFG00000012961.4	ENSG00000136485.15	ENSMFAG00000041397.1	ENSMUSG00000049354.8	ENSRNOG00000042245.2
N0.HOG0006278	OG0005098	n0	ENSCAFG00000020324.5	ENSG00000072736.19	ENSMFAG00000043795.1	ENSMUSG00000031902.10	ENSRNOG00000054264.1
N0.HOG0006279	OG0005099	n0	ENSCAFG00000006001.4	ENSG00000120685.20	ENSMFAG00000003151.1	ENSMUSG00000049504.12	ENSRNOG00000010980.5
N0.HOG0006280	OG0005100	n0	ENSCAFG00000001614.4	ENSG00000112578.10	ENSMFAG00000033214.1	ENSMUSG00000023988.8	ENSRNOG00000049121.2
N0.HOG0006281	OG0005101	n0	ENSCAFG00000013544.5	ENSG00000106211.10	ENSMFAG00000045453.1	ENSMUSG00000004951.10	ENSRNOG00000023546.5
N0.HOG0006282	OG0005102	n0	ENSCAFG00000016431.4	ENSG00000106268.15	ENSMFAG00000039575.1	ENSMUSG00000036639.12	ENSRNOG00000001260.6
N0.HOG0006283	OG0005103	n0	ENSCAFG00000008371.4	ENSG00000138757.14	ENSMFAG00000044717.1	ENSMUSG00000029405.16	ENSRNOG00000002433.5
N0.HOG0006284	OG0005104	n0	ENSCAFG00000014753.4	ENSG00000147119.4	ENSMFAG00000029054.1	ENSMUSG00000037347.7	ENSRNOG00000004258.5
N0.HOG0006285	OG0005105	n0	ENSCAFG00000031586.2	ENSG00000119862.13	ENSMFAG00000031922.1	ENSMUSG00000042363.14	ENSRNOG00000005464.5
N0.HOG0006286	OG0005106	n0	ENSCAFG00000017206.5	ENSG00000050030.16	ENSMFAG00000001576.1	ENSMUSG00000046449.15	ENSRNOG00000021589.6
N0.HOG0006287	OG0005107	n0	ENSCAFG00000013924.5	ENSG00000161714.12	ENSMFAG00000044688.1	ENSMUSG00000020937.14	ENSRNOG00000003033.5
N0.HOG0006288	OG0005108	n0	ENSCAFG00000019258.4	ENSG00000179403.12	ENSMFAG00000000422.1	ENSMUSG00000042116.3	ENSRNOG00000018338.7
N0.HOG0006289	OG0005109	n0	ENSCAFG00000013801.4	ENSG00000079156.17	ENSMFAG00000003510.1	ENSMUSG00000042359.18	ENSRNOG00000010812.6
N0.HOG0006290	OG0005110	n0	ENSCAFG00000000192.4	ENSG00000092421.17	ENSMFAG00000041392.1	ENSMUSG00000019647.16	ENSRNOG00000004033.8
N0.HOG0006291	OG0005111	n0	ENSCAFG00000029757.2	ENSG00000108960.9	ENSMFAG00000000970.1	ENSMUSG00000003948.17	ENSRNOG00000002436.7
N0.HOG0006292	OG0005112	n0	ENSCAFG00000019937.5	ENSG00000135709.12	ENSMFAG00000024723.1	ENSMUSG00000031824.15	ENSRNOG00000017431.6
N0.HOG0006293	OG0005113	n0	ENSCAFG00000001551.4	ENSG00000164985.15	ENSMFAG00000045606.1	ENSMUSG00000028484.16	ENSRNOG00000011498.6
N0.HOG0006294	OG0005114	n0	ENSCAFG00000017875.4	ENSG00000006740.17	ENSMFAG00000033484.1	ENSMUSG00000033389.16	ENSRNOG00000003603.8
N0.HOG0006295	OG0005115	n0	ENSCAFG00000001613.3	ENSG00000124641.16	ENSMFAG00000040586.1	ENSMUSG00000092558.3	ENSRNOG00000013852.7
N0.HOG0006296	OG0005116	n0	ENSCAFG00000012987.4	ENSG00000173826.15	ENSMFAG00000000684.1	ENSMUSG00000001901.15	ENSRNOG00000008078.6
N0.HOG0006297	OG0005117	n0	ENSCAFG00000016173.4	ENSG00000126351.13	ENSMFAG00000032035.1	ENSMUSG00000058756.13	ENSRNOG00000009066.6
N0.HOG0006298	OG0005118	n0	ENSCAFG00000014843.5	ENSG00000073712.15	ENSMFAG00000038626.1	ENSMUSG00000037712.16	ENSRNOG00000009102.7
N0.HOG0006299	OG0005119	n0	ENSCAFG00000012767.5	ENSG00000145016.16	ENSMFAG00000001615.1	ENSMUSG00000035629.19	ENSRNOG00000059880.1
N0.HOG0006300	OG0005120	n0	ENSCAFG00000002702.5	ENSG00000111799.21	ENSMFAG00000034460.1	ENSMUSG00000032332.17	ENSRNOG00000058470.1
N0.HOG0006301	OG0005121	n0	ENSCAFG00000031574.2	ENSG00000235098.8	ENSMFAG00000037502.1	ENSMUSG00000078487.8	ENSRNOG00000043331.1
N0.HOG0006302	OG0005122	n0	ENSCAFG00000000611.5	ENSG00000145794.17	ENSMFAG00000042999.1	ENSMUSG00000024593.15	ENSRNOG00000013674.6
N0.HOG0006303	OG0005123	n0	ENSCAFG00000002742.4	ENSG00000122591.12	ENSMFAG00000027679.1	ENSMUSG00000028995.14	ENSRNOG00000010517.6
N0.HOG0006304	OG0005124	n0	ENSCAFG00000006795.4, ENSCAFG00000023724.3	ENSG00000198225.5	ENSMFAG00000029622.1		ENSRNOG00000008822.5
N0.HOG0006305	OG0005125	n0	ENSCAFG00000010131.5	ENSG00000107862.5	ENSMFAG00000002812.1	ENSMUSG00000025224.16	ENSRNOG00000026048.6
N0.HOG0006306	OG0005126	n0	ENSCAFG00000013852.5	ENSG00000132561.14	ENSMFAG00000042275.1	ENSMUSG00000022324.15	ENSRNOG00000006060.7
N0.HOG0006307	OG0005127	n0	ENSCAFG00000019810.4	ENSG00000160293.17	ENSMFAG00000004024.1	ENSMUSG00000009621.18	ENSRNOG00000007422.6
N0.HOG0006308	OG0005128	n0	ENSCAFG00000003608.5	ENSG00000119397.16	ENSMFAG00000001166.1	ENSMUSG00000057110.15	ENSRNOG00000022015.7
N0.HOG0006309	OG0005129	n0	ENSCAFG00000014629.4	ENSG00000109758.9	ENSMFAG00000002414.1	ENSMUSG00000029102.9	ENSRNOG00000009572.6
N0.HOG0006310	OG0005130	n0	ENSCAFG00000018424.5	ENSG00000175662.18	ENSMFAG00000002679.1	ENSMUSG00000000538.18	ENSRNOG00000003590.7
N0.HOG0006311	OG0005131	n0	ENSCAFG00000030851.2	ENSG00000108924.14	ENSMFAG00000032996.1	ENSMUSG00000003949.16	ENSRNOG00000002456.6
N0.HOG0006312	OG0005132	n0	ENSCAFG00000019404.4	ENSG00000182685.7	ENSMFAG00000039405.1	ENSMUSG00000045744.11	ENSRNOG00000009611.5
N0.HOG0006313	OG0005133	n0	ENSCAFG00000015048.4	ENSG00000140284.11	ENSMFAG00000038376.1	ENSMUSG00000027359.16	ENSRNOG00000010128.7
N0.HOG0006314	OG0005134	n0	ENSCAFG00000002089.4	ENSG00000198087.7	ENSMFAG00000042539.1	ENSMUSG00000061665.7	ENSRNOG00000011987.3
N0.HOG0006315	OG0005135	n0	ENSCAFG00000003013.4	ENSG00000106868.17	ENSMFAG00000035744.1	ENSMUSG00000038578.15	ENSRNOG00000056819.1
N0.HOG0006316	OG0005136	n0	ENSCAFG00000018205.5	ENSG00000134490.14	ENSMFAG00000031030.1	ENSMUSG00000049411.15	ENSRNOG00000023412.7
N0.HOG0006317	OG0005137	n0	ENSCAFG00000015131.3	ENSG00000110318.15	ENSMFAG00000030828.1	ENSMUSG00000040729.8	ENSRNOG00000021839.6
N0.HOG0006318	OG0005138	n0	ENSCAFG00000018720.4	ENSG00000125703.15	ENSMFAG00000038279.1	ENSMUSG00000028550.15	ENSRNOG00000008767.6
N0.HOG0006319	OG0005139	n0	ENSCAFG00000024991.3	ENSG00000152208.13	ENSMFAG00000043573.1	ENSMUSG00000071424.10	ENSRNOG00000006174.6
N0.HOG0006320	OG0005140	n0	ENSCAFG00000008296.4	ENSG00000016391.11	ENSMFAG00000002691.1	ENSMUSG00000015970.19	ENSRNOG00000015859.5
N0.HOG0006321	OG0005141	n0	ENSCAFG00000011613.4	ENSG00000166091.21	ENSMFAG00000030275.1	ENSMUSG00000040759.9	ENSRNOG00000016828.8
N0.HOG0006322	OG0005142	n0	ENSCAFG00000011750.3	ENSG00000123595.8	ENSMFAG00000023380.1	ENSMUSG00000079316.10	ENSRNOG00000030443.4
N0.HOG0006323	OG0005143	n0	ENSCAFG00000020099.4	ENSG00000103091.15	ENSMFAG00000036379.1	ENSMUSG00000031959.15	ENSRNOG00000018967.8
N0.HOG0006324	OG0005144	n0	ENSCAFG00000005999.4	ENSG00000188811.14	ENSMFAG00000001573.1	ENSMUSG00000042997.13	ENSRNOG00000010843.5
N0.HOG0006325	OG0005145	n0	ENSCAFG00000008344.4	ENSG00000138769.11	ENSMFAG00000043830.1	ENSMUSG00000029403.14	ENSRNOG00000002506.7
N0.HOG0006326	OG0005146	n0	ENSCAFG00000013114.5	ENSG00000121446.20	ENSMFAG00000005623.1	ENSMUSG00000042641.19	ENSRNOG00000026952.6
N0.HOG0006327	OG0005147	n0	ENSCAFG00000042761.1	ENSG00000169154.7	ENSMFAG00000003470.1	ENSMUSG00000039720.7	ENSRNOG00000038473.4
N0.HOG0006328	OG0005148	n0	ENSCAFG00000001496.4	ENSG00000100083.19	ENSMFAG00000044315.1	ENSMUSG00000033128.9	ENSRNOG00000008897.6
N0.HOG0006329	OG0005149	n0	ENSCAFG00000000064.4	ENSG00000135404.12	ENSMFAG00000045733.1	ENSMUSG00000025351.14	ENSRNOG00000007650.5
N0.HOG0006330	OG0005150	n0	ENSCAFG00000011746.5	ENSG00000176896.8	ENSMFAG00000046343.1	ENSMUSG00000051224.13	ENSRNOG00000004531.4
N0.HOG0006331	OG0005151	n0	ENSCAFG00000017195.3	ENSG00000147100.11	ENSMFAG00000034044.1	ENSMUSG00000033965.10	ENSRNOG00000002832.5
N0.HOG0006332	OG0005152	n0	ENSCAFG00000001609.5	ENSG00000164663.14	ENSMFAG00000044365.1	ENSMUSG00000090115.7	ENSRNOG00000013866.5
N0.HOG0006333	OG0005153	n0	ENSCAFG00000000197.4	ENSG00000145781.9	ENSMFAG00000002934.1	ENSMUSG00000042705.9	ENSRNOG00000003958.7
N0.HOG0006334	OG0005154	n0	ENSCAFG00000000252.5	ENSG00000135502.18	ENSMFAG00000042325.1	ENSMUSG00000040441.12	ENSRNOG00000029465.5
N0.HOG0006335	OG0005155	n0	ENSCAFG00000013087.5	ENSG00000100105.18	ENSMFAG00000040968.1	ENSMUSG00000020453.17	ENSRNOG00000018709.7
N0.HOG0006336	OG0005156	n0	ENSCAFG00000013895.4	ENSG00000181513.15	ENSMFAG00000045120.1	ENSMUSG00000056938.16	ENSRNOG00000003108.6
N0.HOG0006337	OG0005157	n0	ENSCAFG00000009131.4	ENSG00000164951.16	ENSMFAG00000030624.1	ENSMUSG00000049225.14	ENSRNOG00000016180.5
N0.HOG0006338	OG0005158	n0	ENSCAFG00000017332.4	ENSG00000137834.15	ENSMFAG00000045176.1	ENSMUSG00000036867.7	ENSRNOG00000009173.7
N0.HOG0006339	OG0005159	n0	ENSCAFG00000016426.4	ENSG00000106266.11	ENSMFAG00000029647.1	ENSMUSG00000029560.12	ENSRNOG00000001258.3
N0.HOG0006340	OG0005160	n0	ENSCAFG00000004068.3	ENSG00000105392.16	ENSMFAG00000039279.1	ENSMUSG00000041578.15	ENSRNOG00000013890.4
N0.HOG0006341	OG0005161	n0	ENSCAFG00000001548.4	ENSG00000164975.15	ENSMFAG00000039519.1	ENSMUSG00000028483.13	ENSRNOG00000010825.6
N0.HOG0006342	OG0005162	n0	ENSCAFG00000017784.4	ENSG00000079999.14	ENSMFAG00000044381.1	ENSMUSG00000003308.15	ENSRNOG00000020878.4
N0.HOG0006343	OG0005163	n0	ENSCAFG00000005226.5	ENSG00000108021.20	ENSMFAG00000000468.1	ENSMUSG00000033799.10	ENSRNOG00000018011.8
N0.HOG0006344	OG0005164	n0	ENSCAFG00000005256.4	ENSG00000102471.14	ENSMFAG00000003559.1	ENSMUSG00000053253.16	ENSRNOG00000024022.5
N0.HOG0006345	OG0005165	n0	ENSCAFG00000016150.4	ENSG00000126368.6	ENSMFAG00000038118.1	ENSMUSG00000020889.11	ENSRNOG00000009329.7
N0.HOG0006346	OG0005166	n0	ENSCAFG00000029976.2	ENSG00000128590.5	ENSMFAG00000002284.1	ENSMUSG00000014905.4	ENSRNOG00000004006.5
N0.HOG0006347	OG0005167	n0	ENSCAFG00000001234.4	ENSG00000065060.17	ENSMFAG00000000555.1	ENSMUSG00000039512.12	ENSRNOG00000000495.7
N0.HOG0006348	OG0005168	n0	ENSCAFG00000000462.4	ENSG00000139287.13	ENSMFAG00000035804.1	ENSMUSG00000006764.8	ENSRNOG00000003880.4
N0.HOG0006349	OG0005169	n0	ENSCAFG00000019934.4	ENSG00000153789.13	ENSMFAG00000040673.1	ENSMUSG00000042269.15	ENSRNOG00000021714.5
N0.HOG0006350	OG0005170	n0	ENSCAFG00000013143.5	ENSG00000160613.14	ENSMFAG00000044470.1	ENSMUSG00000035382.9	ENSRNOG00000017478.5
N0.HOG0006351	OG0005171	n0	ENSCAFG00000018597.4	ENSG00000101680.15	ENSMFAG00000007292.1	ENSMUSG00000032796.8	ENSRNOG00000017237.6
N0.HOG0006352	OG0005172	n0	ENSCAFG00000019401.4	ENSG00000184207.9	ENSMFAG00000045182.1	ENSMUSG00000043445.7	ENSRNOG00000009536.7
N0.HOG0006353	OG0005173	n0	ENSCAFG00000008269.5	ENSG00000056736.10	ENSMFAG00000001616.1	ENSMUSG00000015966.17	ENSRNOG00000015498.8
N0.HOG0006354	OG0005174	n0	ENSCAFG00000014622.5	ENSG00000175920.18	ENSMFAG00000045592.1	ENSMUSG00000044716.12	ENSRNOG00000022419.5
N0.HOG0006355	OG0005175	n0	ENSCAFG00000017863.5	ENSG00000141052.18	ENSMFAG00000036055.1	ENSMUSG00000020542.18	ENSRNOG00000003669.7
N0.HOG0006356	OG0005176	n0	ENSCAFG00000014826.3	ENSG00000100522.10	ENSMFAG00000045178.1	ENSMUSG00000037722.8	ENSRNOG00000008641.6
N0.HOG0006357	OG0005177	n0	ENSCAFG00000005112.3	ENSG00000161544.10	ENSMFAG00000003294.1	ENSMUSG00000020810.5	ENSRNOG00000011541.4
N0.HOG0006358	OG0005178	n0	ENSCAFG00000019264.4	ENSG00000221978.12	ENSMFAG00000009740.1	ENSMUSG00000029068.16	ENSRNOG00000018691.7
N0.HOG0006359	OG0005179	n0	ENSCAFG00000003153.5	ENSG00000143952.20	ENSMFAG00000042525.1	ENSMUSG00000020128.15	ENSRNOG00000007125.7
N0.HOG0006360	OG0005180	n0	ENSCAFG00000020320.4	ENSG00000103067.14	ENSMFAG00000002813.1	ENSMUSG00000084128.10	ENSRNOG00000023177.3
N0.HOG0006361	OG0005181	n0	ENSCAFG00000031758.2	ENSG00000107859.10	ENSMFAG00000045143.1	ENSMUSG00000025229.15	ENSRNOG00000019194.3
N0.HOG0006362	OG0005182	n0	ENSCAFG00000016944.6	ENSG00000116539.13	ENSMFAG00000004660.1	ENSMUSG00000028053.13	ENSRNOG00000020386.7
N0.HOG0006363	OG0005183	n0	ENSCAFG00000019296.4	ENSG00000127804.13	ENSMFAG00000038724.1	ENSMUSG00000010554.14	ENSRNOG00000002764.9
N0.HOG0006364	OG0005184	n0	ENSCAFG00000031816.2	ENSG00000196683.10	ENSMFAG00000035836.1	ENSMUSG00000028998.6	ENSRNOG00000043114.1
N0.HOG0006365	OG0005185	n0	ENSCAFG00000017349.5	ENSG00000166263.13	ENSMFAG00000001400.1	ENSMUSG00000020546.14	ENSRNOG00000032768.6
N0.HOG0006366	OG0005186	n0	ENSCAFG00000019388.4	ENSG00000167967.16	ENSMFAG00000038250.1	ENSMUSG00000024137.9	ENSRNOG00000009224.6
N0.HOG0006367	OG0005187	n0	ENSCAFG00000005998.4	ENSG00000183722.9	ENSMFAG00000039258.1	ENSMUSG00000048332.13	ENSRNOG00000014153.4
N0.HOG0006368	OG0005188	n0	ENSCAFG00000006661.5	ENSG00000178776.5	ENSMFAG00000001550.1	ENSMUSG00000071858.4	ENSRNOG00000039260.4
N0.HOG0006369	OG0005189	n0	ENSCAFG00000014607.4	ENSG00000163956.13	ENSMFAG00000045907.1	ENSMUSG00000029103.16	ENSRNOG00000009313.5
N0.HOG0006370	OG0005190	n0	ENSCAFG00000011726.5	ENSG00000198759.12	ENSMFAG00000041779.1	ENSMUSG00000000402.2	ENSRNOG00000004275.7
N0.HOG0006371	OG0005191	n0	ENSCAFG00000008248.4	ENSG00000113812.14	ENSMFAG00000042471.1	ENSMUSG00000015971.5	ENSRNOG00000015280.7
N0.HOG0006372	OG0005192	n0	ENSCAFG00000000063.4	ENSG00000135437.10	ENSMFAG00000002032.1	ENSMUSG00000025350.15	ENSRNOG00000053850.1
N0.HOG0006373	OG0005193	n0	ENSCAFG00000000460.4	ENSG00000104341.17	ENSMFAG00000042049.1	ENSMUSG00000022257.4	ENSRNOG00000006766.6
N0.HOG0006374	OG0005194	n0	ENSCAFG00000031215.2	ENSG00000147113.17	ENSMFAG00000035756.1	ENSMUSG00000037358.6	ENSRNOG00000004265.7
N0.HOG0006375	OG0005195	n0	ENSCAFG00000006154.4	ENSG00000187840.5	ENSMFAG00000000356.1	ENSMUSG00000031490.6	ENSRNOG00000012582.5
N0.HOG0006376	OG0005196	n0	ENSCAFG00000030082.2	ENSG00000182489.9	ENSMFAG00000001920.1	ENSMUSG00000031258.4	ENSRNOG00000054136.1
N0.HOG0006377	OG0005197	n0	ENSCAFG00000000198.3	ENSG00000268223.5	ENSMFAG00000035699.1	ENSMUSG00000073568.2	ENSRNOG00000025590.3
N0.HOG0006378	OG0005198	n0	ENSCAFG00000028623.2	ENSG00000119915.5	ENSMFAG00000036362.1	ENSMUSG00000038754.5	ENSRNOG00000019124.6
N0.HOG0006379	OG0005199	n0	ENSCAFG00000001559.5	ENSG00000260428.3	ENSMFAG00000001646.1	ENSMUSG00000034161.8	ENSRNOG00000021812.4
N0.HOG0006380	OG0005200	n0	ENSCAFG00000018023.5	ENSG00000169347.17	ENSMFAG00000041038.1	ENSMUSG00000030954.11	ENSRNOG00000015716.5
N0.HOG0006381	OG0005201	n0	ENSCAFG00000018015.4	ENSG00000169340.10	ENSMFAG00000042439.1	ENSMUSG00000030968.3	ENSRNOG00000015368.4
N0.HOG0006382	OG0005202	n0	ENSCAFG00000018021.4	ENSG00000169344.15	ENSMFAG00000045632.1	ENSMUSG00000030963.6	ENSRNOG00000015557.4
N0.HOG0006383	OG0005203	n0	ENSCAFG00000024109.3	ENSG00000183747.12, ENSG00000066813.14	ENSMFAG00000043617.1	ENSMUSG00000030945.17	
N0.HOG0006384	OG0005204	n0	ENSCAFG00000017939.4	ENSG00000196678.14	ENSMFAG00000033081.1	ENSMUSG00000030929.17	ENSRNOG00000014673.6
N0.HOG0006385	OG0005205	n0	ENSCAFG00000017952.4	ENSG00000005187.12	ENSMFAG00000029841.1	ENSMUSG00000030935.15	ENSRNOG00000032246.4
N0.HOG0006386	OG0005206	n0	ENSCAFG00000017924.5	ENSG00000005189.19	ENSMFAG00000036613.1	ENSMUSG00000030924.16	ENSRNOG00000014513.7
N0.HOG0006387	OG0005207	n0	ENSCAFG00000031060.2	ENSG00000102897.10	ENSMFAG00000003508.1	ENSMUSG00000030922.12	ENSRNOG00000024530.5
N0.HOG0006388	OG0005208	n0	ENSCAFG00000014236.4	ENSG00000137714.3	ENSMFAG00000039761.1	ENSMUSG00000032051.9	ENSRNOG00000012123.3
N0.HOG0006389	OG0005209	n0	ENSCAFG00000017807.4	ENSG00000103316.12	ENSMFAG00000000877.1	ENSMUSG00000030905.5	ENSRNOG00000061215.1
N0.HOG0006390	OG0005210	n0	ENSCAFG00000016485.4	ENSG00000182185.18	ENSMFAG00000043482.1	ENSMUSG00000059060.15	ENSRNOG00000059245.1
N0.HOG0006391	OG0005211	n0	ENSCAFG00000016464.4	ENSG00000072121.16	ENSMFAG00000036640.1	ENSMUSG00000066440.5	ENSRNOG00000059875.1
N0.HOG0006392	OG0005212	n0	ENSCAFG00000016428.5	ENSG00000081181.8	ENSMFAG00000000946.1	ENSMUSG00000021125.6	ENSRNOG00000053811.1
N0.HOG0006393	OG0005213	n0	ENSCAFG00000015770.4	ENSG00000180287.17	ENSMFAG00000038798.1	ENSMUSG00000055214.15	ENSRNOG00000003997.7
N0.HOG0006394	OG0005214	n0	ENSCAFG00000016423.4	ENSG00000100564.9	ENSMFAG00000034082.1	ENSMUSG00000021120.11	ENSRNOG00000010914.4
N0.HOG0006395	OG0005215	n0	ENSCAFG00000015758.4	ENSG00000174371.17	ENSMFAG00000023098.1	ENSMUSG00000039748.11	ENSRNOG00000056209.1
N0.HOG0006396	OG0005216	n0	ENSCAFG00000020148.4	ENSG00000154511.12	ENSMFAG00000000290.1	ENSMUSG00000029270.10	ENSRNOG00000023533.6
N0.HOG0006397	OG0005217	n0	ENSCAFG00000029443.2	ENSG00000162843.17	ENSMFAG00000032673.1	ENSMUSG00000026523.14	ENSRNOG00000038083.5
N0.HOG0006398	OG0005218	n0	ENSCAFG00000015729.4	ENSG00000054277.14	ENSMFAG00000042077.1	ENSMUSG00000026525.9	ENSRNOG00000003778.5
N0.HOG0006399	OG0005219	n0	ENSCAFG00000020147.4	ENSG00000143033.18	ENSMFAG00000037684.1	ENSMUSG00000029267.17	ENSRNOG00000000075.6
N0.HOG0006400	OG0005220	n0	ENSCAFG00000016410.4	ENSG00000054690.14	ENSMFAG00000038266.1	ENSMUSG00000060716.7	ENSRNOG00000010650.7
N0.HOG0006401	OG0005221	n0	ENSCAFG00000015726.5	ENSG00000117009.12	ENSMFAG00000044420.1	ENSMUSG00000039783.15	ENSRNOG00000003709.6
N0.HOG0006402	OG0005222	n0	ENSCAFG00000015704.4	ENSG00000091483.7	ENSMFAG00000045537.1	ENSMUSG00000026526.14	ENSRNOG00000003653.5
N0.HOG0006403	OG0005223	n0	ENSCAFG00000016401.2	ENSG00000198133.8	ENSMFAG00000009950.1	ENSMUSG00000046157.13	ENSRNOG00000010646.4
N0.HOG0006404	OG0005224	n0	ENSCAFG00000020146.4	ENSG00000117500.13	ENSMFAG00000039021.1	ENSMUSG00000063406.11	ENSRNOG00000000073.6
N0.HOG0006405	OG0005225	n0	ENSCAFG00000016386.4	ENSG00000134001.14	ENSMFAG00000037691.1	ENSMUSG00000021116.10	ENSRNOG00000009432.4
N0.HOG0006406	OG0005226	n0	ENSCAFG00000017028.5	ENSG00000119638.13	ENSMFAG00000037572.1	ENSMUSG00000034290.9	ENSRNOG00000058572.1
N0.HOG0006407	OG0005227	n0	ENSCAFG00000019082.5	ENSG00000078328.22	ENSMFAG00000036447.1	ENSMUSG00000008658.16	ENSRNOG00000002827.7
N0.HOG0006408	OG0005228	n0	ENSCAFG00000016369.4	ENSG00000100554.12	ENSMFAG00000036334.1	ENSMUSG00000021114.9	ENSRNOG00000009080.6
N0.HOG0006409	OG0005229	n0	ENSCAFG00000017024.4	ENSG00000119703.15	ENSMFAG00000013902.1	ENSMUSG00000045064.5	ENSRNOG00000027115.6
N0.HOG0006410	OG0005230	n0	ENSCAFG00000016394.4	ENSG00000100558.9	ENSMFAG00000000370.1	ENSMUSG00000021118.7	ENSRNOG00000010098.5
N0.HOG0006411	OG0005231	n0	ENSCAFG00000008177.3	ENSG00000152266.7	ENSMFAG00000032854.1	ENSMUSG00000059077.6	ENSRNOG00000014318.2
N0.HOG0006412	OG0005232	n0	ENSCAFG00000015679.5	ENSG00000182901.17	ENSMFAG00000031055.1	ENSMUSG00000026527.13	ENSRNOG00000021984.6
N0.HOG0006413	OG0005233	n0	ENSCAFG00000008166.5	ENSG00000148925.11	ENSMFAG00000000120.1	ENSMUSG00000038187.14	ENSRNOG00000014341.6
N0.HOG0006414	OG0005234	n0	ENSCAFG00000017741.5	ENSG00000175267.15	ENSMFAG00000033453.1	ENSMUSG00000030889.14	ENSRNOG00000025110.5
N0.HOG0006415	OG0005235	n0	ENSCAFG00000016353.4	ENSG00000072415.9	ENSMFAG00000007215.1	ENSMUSG00000021112.9	ENSRNOG00000008788.5
N0.HOG0006416	OG0005236	n0	ENSCAFG00000019042.4	ENSG00000067365.15	ENSMFAG00000027750.1	ENSMUSG00000039345.16	ENSRNOG00000002714.7
N0.HOG0006417	OG0005237	n0	ENSCAFG00000017012.5	ENSG00000119684.16	ENSMFAG00000043843.1	ENSMUSG00000021245.15	ENSRNOG00000006699.7
N0.HOG0006418	OG0005238	n0	ENSCAFG00000016336.4	ENSG00000172717.16	ENSMFAG00000043597.1	ENSMUSG00000056987.8	ENSRNOG00000028351.2
N0.HOG0006419	OG0005239	n0	ENSCAFG00000008095.5	ENSG00000133794.19	ENSMFAG00000034184.1	ENSMUSG00000055116.8	ENSRNOG00000014448.8
N0.HOG0006420	OG0005240	n0	ENSCAFG00000020143.5	ENSG00000122483.17	ENSMFAG00000033283.1	ENSMUSG00000056531.11	ENSRNOG00000024545.7
N0.HOG0006421	OG0005241	n0	ENSCAFG00000019030.4	ENSG00000183044.12	ENSMFAG00000032053.1	ENSMUSG00000057880.12	ENSRNOG00000002636.7
N0.HOG0006422	OG0005242	n0	ENSCAFG00000014221.5	ENSG00000137727.12	ENSMFAG00000036507.1	ENSMUSG00000053199.13	ENSRNOG00000025624.6
N0.HOG0006423	OG0005243	n0	ENSCAFG00000008082.5	ENSG00000189431.8	ENSMFAG00000020423.1	ENSMUSG00000098132.1	ENSRNOG00000014847.6
N0.HOG0006424	OG0005244	n0	ENSCAFG00000016998.4	ENSG00000119718.11	ENSMFAG00000043749.1	ENSMUSG00000004788.11	ENSRNOG00000006467.4
N0.HOG0006425	OG0005245	n0	ENSCAFG00000019010.3	ENSG00000140650.12	ENSMFAG00000031650.1	ENSMUSG00000022711.16	ENSRNOG00000002615.5
N0.HOG0006426	OG0005246	n0	ENSCAFG00000015633.2	ENSG00000180875.5	ENSMFAG00000030833.1	ENSMUSG00000050069.3	ENSRNOG00000003616.5
N0.HOG0006427	OG0005247	n0	ENSCAFG00000019003.4	ENSG00000153048.11	ENSMFAG00000031370.1	ENSMUSG00000008393.9	ENSRNOG00000002610.5
N0.HOG0006428	OG0005248	n0	ENSCAFG00000015625.5	ENSG00000155816.20	ENSMFAG00000000367.1	ENSMUSG00000028354.13	ENSRNOG00000061764.1
N0.HOG0006429	OG0005249	n0	ENSCAFG00000016305.5	ENSG00000171723.16	ENSMFAG00000036313.1	ENSMUSG00000047454.12	ENSRNOG00000028366.7
